Data da Venda,Código Produto,Nome Produto,Categoria do Produto,Quantidade Vendido,Valor Unitário,Valor Total da Venda,Cidade da Loja,País da Loja,Vendedor
2024-01-08,92,HD Sata,Armazenamento,5,620.12,3100.6,Coimbra,Portugal,Miguel
2023-06-02,30,Notebook,Computadores,6,1999.59,11997.54,Valencia,Espanha,Carlos
2023-02-25,60,Cadeira,Móveis,3,693.05,2079.15,São Paulo,Brasil,João
2024-02-01,92,HD Sata,Armazenamento,4,1624.77,6499.08,São Paulo,Brasil,João
2023-04-13,10,Mouse,Periféricos,1,1241.35,1241.35,Rio de Janeiro,Brasil,João
2023-06-10,35,Computador,Computadores,10,3012.92,30129.2,Barcelona,Espanha,María
2023-08-15,90,HD SSD,Armazenamento,5,2191.92,10959.6,Los Angeles,Estados Unidos,Alice
2023-12-21,92,HD Sata,Armazenamento,5,542.17,2710.85,Porto,Portugal,Sofia
2023-06-19,11,Teclado,Periféricos,7,4764.03,33348.21,Belo Horizonte,Brasil,Ana
2023-08-31,35,Computador,Computadores,7,637.24,4460.68,Valencia,Espanha,María
2023-07-22,92,HD Sata,Armazenamento,6,4856.63,29139.78,Rio de Janeiro,Brasil,Carlos
2023-09-07,50,Mesa,Móveis,8,1128.45,9027.6,Rio de Janeiro,Brasil,João
2023-11-03,40,Nobreak,Periféricos,2,4515.05,9030.1,Madrid,Espanha,María
2023-08-25,10,Mouse,Periféricos,5,1241.15,6205.75,Porto,Portugal,Sofia
2023-03-30,50,Mesa,Móveis,4,1269.54,5078.16,Porto,Portugal,Miguel
2023-02-25,24,Cabo Rede,Periféricos,7,149.11,1043.77,Chicago,Estados Unidos,Bob
2023-11-07,30,Notebook,Computadores,8,1288.75,10310.0,São Paulo,Brasil,Carlos
2023-06-26,70,Licença Windows,Software,4,3978.01,15912.04,New York,Estados Unidos,Alice
2023-07-06,11,Teclado,Periféricos,3,4509.17,13527.51,Chicago,Estados Unidos,Bob
2023-10-17,30,Notebook,Computadores,6,1849.3,11095.8,São Paulo,Brasil,João
2024-01-30,96,Placa de Vídeo,Periféricos,10,4621.34,46213.4,Belo Horizonte,Brasil,Ana
2023-06-11,96,Placa de Vídeo,Periféricos,2,2060.48,4120.96,New York,Estados Unidos,Bob
2024-02-11,92,HD Sata,Armazenamento,10,4645.31,46453.1,Coimbra,Portugal,Sofia
2024-01-08,22,Cabo Energia,Periféricos,9,622.39,5601.51,Belo Horizonte,Brasil,Ana
2023-05-22,92,HD Sata,Armazenamento,6,2244.96,13469.76,Chicago,Estados Unidos,Alice
2023-12-10,96,Placa de Vídeo,Periféricos,8,1110.58,8884.64,Valencia,Espanha,David
2023-12-07,80,Licença Office 365,Software,1,2857.66,2857.66,Belo Horizonte,Brasil,Ana
2023-11-29,20,Monitor,Monitores,9,1216.09,10944.81,Lisboa,Portugal,Sofia
2023-06-11,24,Cabo Rede,Periféricos,8,1775.86,14206.88,Chicago,Estados Unidos,Alice
2023-05-22,35,Computador,Computadores,4,3159.89,12639.56,New York,Estados Unidos,Alice
