Data da Venda,Código Produto,Nome Produto,Categoria do Produto,Quantidade Vendido,Valor Unitário,Valor Total da Venda,Cidade da Loja,País da Loja,Vendedor
2024-01-26,60,Cadeira,Móveis,1,300.0,300.0,Porto,Portugal,Miguel
2023-03-19,92,HD Sata,Armazenamento,6,468.0,2808.0,São Paulo,Brasil,Carlos
2023-04-25,11,Teclado,Periféricos,8,159.0,1272.0,Valencia,Espanha,Carlos
2024-01-17,23,Cabo HDMI,Periféricos,4,40.0,160.0,Rio de Janeiro,Brasil,Ana
2023-09-15,90,HD SSD,Armazenamento,4,696.0,2784.0,Valencia,Espanha,María
2023-07-21,80,Licença Office 365,Software,7,392.0,2744.0,Coimbra,Portugal,Miguel
2023-05-05,22,Cabo Energia,Periféricos,10,32.4,324.0,Lisboa,Portugal,Sofia
2023-11-24,80,Licença Office 365,Software,4,420.0,1680.0,Coimbra,Portugal,Sofia
2023-10-31,80,Licença Office 365,Software,10,413.0,4130.0,Coimbra,Portugal,Sofia
2024-01-15,60,Cadeira,Móveis,9,300.0,2700.0,Valencia,Espanha,David
2023-05-24,70,Licença Windows,Software,8,972.0,7776.0,Coimbra,Portugal,André
2023-07-16,10,Mouse,Periféricos,10,112.0,1120.0,São Paulo,Brasil,Carlos
2023-03-21,35,Computador,Computadores,10,2392.0,23920.0,Belo Horizonte,Brasil,Ana
2023-08-14,92,HD Sata,Armazenamento,4,513.0,2052.0,Valencia,Espanha,María
2023-04-11,95,Memória,Armazenamento,8,339.2,2713.6,Valencia,Espanha,María
2024-01-19,40,Nobreak,Periféricos,6,500.0,3000.0,São Paulo,Brasil,Carlos
2023-07-15,20,Monitor,Monitores,9,896.0,8064.0,Valencia,Espanha,David
2024-02-03,70,Licença Windows,Software,7,918.0,6426.0,Chicago,Estados Unidos,John
2023-08-01,11,Teclado,Periféricos,6,171.0,1026.0,São Paulo,Brasil,João
2023-03-07,35,Computador,Computadores,10,2392.0,23920.0,Belo Horizonte,Brasil,Ana
2023-07-22,95,Memória,Armazenamento,9,358.4,3225.6,Coimbra,Portugal,Sofia
2023-11-06,95,Memória,Armazenamento,2,384.0,768.0,New York,Estados Unidos,John
2023-03-06,70,Licença Windows,Software,1,936.0,936.0,Porto,Portugal,Miguel
2023-08-04,95,Memória,Armazenamento,7,364.8,2553.6,Valencia,Espanha,Carlos
2023-08-02,95,Memória,Armazenamento,8,364.8,2918.4,Valencia,Espanha,Carlos
2023-12-14,60,Cadeira,Móveis,9,366.0,3294.0,Madrid,Espanha,Carlos
2023-02-23,35,Computador,Computadores,6,2346.0,14076.0,Coimbra,Portugal,Miguel
2024-01-04,24,Cabo Rede,Periféricos,10,25.0,250.0,Los Angeles,Estados Unidos,Bob
2023-05-09,10,Mouse,Periféricos,4,108.0,432.0,Madrid,Espanha,Carlos
2023-09-10,20,Monitor,Monitores,1,928.0,928.0,Lisboa,Portugal,Miguel
2023-09-11,70,Licença Windows,Software,8,1044.0,8352.0,New York,Estados Unidos,John
2023-10-18,50,Mesa,Móveis,3,531.0,1593.0,Lisboa,Portugal,André
2023-12-10,20,Monitor,Monitores,4,976.0,3904.0,Porto,Portugal,Miguel
2023-05-22,60,Cadeira,Móveis,2,324.0,648.0,Los Angeles,Estados Unidos,John
2023-11-20,92,HD Sata,Armazenamento,7,540.0,3780.0,Madrid,Espanha,David
2024-01-06,23,Cabo HDMI,Periféricos,7,40.0,280.0,Los Angeles,Estados Unidos,Alice
2023-11-07,22,Cabo Energia,Periféricos,5,36.0,180.0,São Paulo,Brasil,Ana
2024-01-14,30,Notebook,Computadores,5,3500.0,17500.0,Rio de Janeiro,Brasil,João
2023-08-21,23,Cabo HDMI,Periféricos,2,45.6,91.2,Porto,Portugal,André
2023-12-11,80,Licença Office 365,Software,2,427.0,854.0,Lisboa,Portugal,Miguel
2023-11-18,90,HD SSD,Armazenamento,7,720.0,5040.0,Chicago,Estados Unidos,John
2023-10-09,20,Monitor,Monitores,4,944.0,3776.0,Barcelona,Espanha,Carlos
2023-03-29,20,Monitor,Monitores,4,832.0,3328.0,Porto,Portugal,Sofia
2023-12-28,23,Cabo HDMI,Periféricos,2,48.8,97.6,New York,Estados Unidos,John
2023-05-12,96,Placa de Vídeo,Periféricos,8,2376.0,19008.0,São Paulo,Brasil,Carlos
2024-01-06,70,Licença Windows,Software,10,900.0,9000.0,São Paulo,Brasil,João
2023-12-23,70,Licença Windows,Software,5,1098.0,5490.0,Lisboa,Portugal,Miguel
2023-04-15,60,Cadeira,Móveis,5,318.0,1590.0,New York,Estados Unidos,John
2023-07-06,11,Teclado,Periféricos,1,168.0,168.0,Lisboa,Portugal,Sofia
2023-10-22,70,Licença Windows,Software,1,1062.0,1062.0,Lisboa,Portugal,Sofia
2023-03-05,90,HD SSD,Armazenamento,6,624.0,3744.0,São Paulo,Brasil,Carlos
2023-08-09,95,Memória,Armazenamento,10,364.8,3648.0,Lisboa,Portugal,André
2023-12-14,11,Teclado,Periféricos,10,183.0,1830.0,Valencia,Espanha,Carlos
2023-02-25,80,Licença Office 365,Software,6,357.0,2142.0,Rio de Janeiro,Brasil,Carlos
2023-03-05,60,Cadeira,Móveis,1,312.0,312.0,Los Angeles,Estados Unidos,Bob
2024-01-26,70,Licença Windows,Software,5,900.0,4500.0,Madrid,Espanha,María
2023-04-29,23,Cabo HDMI,Periféricos,9,42.4,381.6,Belo Horizonte,Brasil,João
2023-04-16,30,Notebook,Computadores,2,3710.0,7420.0,Rio de Janeiro,Brasil,João
2023-08-12,23,Cabo HDMI,Periféricos,2,45.6,91.2,Valencia,Espanha,David
2023-08-26,96,Placa de Vídeo,Periféricos,4,2508.0,10032.0,Porto,Portugal,Miguel
2023-12-09,24,Cabo Rede,Periféricos,5,30.5,152.5,São Paulo,Brasil,João
2023-04-15,80,Licença Office 365,Software,2,371.0,742.0,Los Angeles,Estados Unidos,Alice
2023-07-19,23,Cabo HDMI,Periféricos,4,44.8,179.2,Los Angeles,Estados Unidos,John
2023-05-25,10,Mouse,Periféricos,8,108.0,864.0,Lisboa,Portugal,Sofia
2023-04-23,60,Cadeira,Móveis,4,318.0,1272.0,New York,Estados Unidos,Alice
2024-02-14,80,Licença Office 365,Software,4,357.0,1428.0,Coimbra,Portugal,Miguel
2023-07-05,35,Computador,Computadores,3,2576.0,7728.0,Porto,Portugal,Sofia
2023-06-09,95,Memória,Armazenamento,4,352.0,1408.0,Belo Horizonte,Brasil,Carlos
2023-12-07,20,Monitor,Monitores,8,976.0,7808.0,Chicago,Estados Unidos,John
2023-04-04,22,Cabo Energia,Periféricos,6,31.8,190.8,Rio de Janeiro,Brasil,Ana
2023-12-25,80,Licença Office 365,Software,1,427.0,427.0,Valencia,Espanha,María
2023-06-18,23,Cabo HDMI,Periféricos,4,44.0,176.0,Coimbra,Portugal,Sofia
2023-07-09,60,Cadeira,Móveis,9,336.0,3024.0,Barcelona,Espanha,Carlos
2023-06-22,22,Cabo Energia,Periféricos,9,33.0,297.0,Barcelona,Espanha,David
2023-11-24,22,Cabo Energia,Periféricos,10,36.0,360.0,Los Angeles,Estados Unidos,John
2023-04-30,40,Nobreak,Periféricos,10,530.0,5300.0,Chicago,Estados Unidos,John
2023-07-11,35,Computador,Computadores,9,2576.0,23184.0,Rio de Janeiro,Brasil,Ana
2023-03-03,92,HD Sata,Armazenamento,7,468.0,3276.0,Coimbra,Portugal,Miguel
2023-02-22,90,HD SSD,Armazenamento,2,612.0,1224.0,Coimbra,Portugal,Sofia
2023-04-13,92,HD Sata,Armazenamento,6,477.0,2862.0,Lisboa,Portugal,Sofia
2023-09-20,10,Mouse,Periféricos,9,116.0,1044.0,Madrid,Espanha,María
2023-10-05,35,Computador,Computadores,5,2714.0,13570.0,Rio de Janeiro,Brasil,João
2023-09-26,60,Cadeira,Móveis,8,348.0,2784.0,New York,Estados Unidos,John
2023-09-23,11,Teclado,Periféricos,4,174.0,696.0,Rio de Janeiro,Brasil,João
2023-04-14,24,Cabo Rede,Periféricos,2,26.5,53.0,Madrid,Espanha,Carlos
2023-07-20,95,Memória,Armazenamento,10,358.4,3584.0,Lisboa,Portugal,Miguel
2024-02-11,50,Mesa,Móveis,6,459.0,2754.0,New York,Estados Unidos,John
2023-06-17,90,HD SSD,Armazenamento,9,660.0,5940.0,Rio de Janeiro,Brasil,Carlos
2023-07-27,24,Cabo Rede,Periféricos,7,28.0,196.0,Chicago,Estados Unidos,John
2023-06-01,11,Teclado,Periféricos,10,165.0,1650.0,Lisboa,Portugal,Sofia
2024-01-23,50,Mesa,Móveis,10,450.0,4500.0,Madrid,Espanha,María
2023-05-23,11,Teclado,Periféricos,7,162.0,1134.0,Coimbra,Portugal,Miguel
2023-09-09,23,Cabo HDMI,Periféricos,6,46.4,278.4,São Paulo,Brasil,Carlos
2023-08-16,60,Cadeira,Móveis,6,342.0,2052.0,Belo Horizonte,Brasil,Carlos
2023-05-13,23,Cabo HDMI,Periféricos,1,43.2,43.2,São Paulo,Brasil,Carlos
2023-11-17,24,Cabo Rede,Periféricos,5,30.0,150.0,Barcelona,Espanha,David
2023-09-24,95,Memória,Armazenamento,8,371.2,2969.6,Lisboa,Portugal,Miguel
2023-05-26,60,Cadeira,Móveis,1,324.0,324.0,Los Angeles,Estados Unidos,John
2023-04-26,10,Mouse,Periféricos,3,106.0,318.0,Chicago,Estados Unidos,John
2023-08-22,22,Cabo Energia,Periféricos,7,34.2,239.4,Los Angeles,Estados Unidos,John
2023-10-07,24,Cabo Rede,Periféricos,9,29.5,265.5,Barcelona,Espanha,David
2023-10-01,40,Nobreak,Periféricos,8,590.0,4720.0,Lisboa,Portugal,Sofia
2023-04-30,96,Placa de Vídeo,Periféricos,2,2332.0,4664.0,Lisboa,Portugal,André
2023-11-08,24,Cabo Rede,Periféricos,2,30.0,60.0,Chicago,Estados Unidos,Alice
2023-12-09,22,Cabo Energia,Periféricos,2,36.6,73.2,Lisboa,Portugal,André
2023-05-26,23,Cabo HDMI,Periféricos,3,43.2,129.6,Madrid,Espanha,David
2023-06-18,22,Cabo Energia,Periféricos,8,33.0,264.0,São Paulo,Brasil,Carlos
2024-02-09,70,Licença Windows,Software,8,918.0,7344.0,Madrid,Espanha,Carlos
2023-10-15,70,Licença Windows,Software,8,1062.0,8496.0,Rio de Janeiro,Brasil,Carlos
2023-02-26,22,Cabo Energia,Periféricos,10,30.6,306.0,Belo Horizonte,Brasil,João
2023-10-11,70,Licença Windows,Software,4,1062.0,4248.0,Porto,Portugal,Miguel
2023-11-07,60,Cadeira,Móveis,1,360.0,360.0,Los Angeles,Estados Unidos,Alice
